individual_id	tumor_bam	normal_bam	maf_file_capture_validated_consensus	indel_maf_file_capture_validated_consensus
THCA-TCGA-BJ-A0YZ	/seq/picard_aggregation/C499/TCGA-BJ-A0YZ-01A-11D-A10S-08/v5/TCGA-BJ-A0YZ-01A-11D-A10S-08.bam	/seq/picard_aggregation/C499/TCGA-BJ-A0YZ-10A-01D-A10S-08/v5/TCGA-BJ-A0YZ-10A-01D-A10S-08.bam	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0YZ-TP-NB-SM-1RAEJ-SM-1RAEM/jobs/mutation_validator/consensus_snp/job.56427935/THCA-TCGA-BJ-A0YZ-TP-NB-SM-1RAEJ-SM-1RAEM.validated_with_consensus.maf	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0YZ-TP-NB-SM-1RAEJ-SM-1RAEM/jobs/mutation_validator/consensus/job.56427936/THCA-TCGA-BJ-A0YZ-TP-NB-SM-1RAEJ-SM-1RAEM.validated_with_consensus.maf
THCA-TCGA-BJ-A0Z0	/seq/picard_aggregation/C499/TCGA-BJ-A0Z0-01A-11D-A10S-08/v5/TCGA-BJ-A0Z0-01A-11D-A10S-08.bam	/seq/picard_aggregation/C499/TCGA-BJ-A0Z0-10A-01D-A10S-08/v5/TCGA-BJ-A0Z0-10A-01D-A10S-08.bam	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0Z0-TP-NB-SM-1RAEP-SM-1RAES/jobs/mutation_validator/consensus_snp/job.56427821/THCA-TCGA-BJ-A0Z0-TP-NB-SM-1RAEP-SM-1RAES.validated_with_consensus.maf	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0Z0-TP-NB-SM-1RAEP-SM-1RAES/jobs/mutation_validator/consensus/job.56427822/THCA-TCGA-BJ-A0Z0-TP-NB-SM-1RAEP-SM-1RAES.validated_with_consensus.maf
THCA-TCGA-BJ-A0Z2	/seq/picard_aggregation/C499/TCGA-BJ-A0Z2-01A-11D-A10S-08/v5/TCGA-BJ-A0Z2-01A-11D-A10S-08.bam	/seq/picard_aggregation/C499/TCGA-BJ-A0Z2-10A-01D-A10S-08/v5/TCGA-BJ-A0Z2-10A-01D-A10S-08.bam	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0Z2-TP-NB-SM-1RAEV-SM-1RAEY/jobs/mutation_validator/consensus_snp/job.56427641/THCA-TCGA-BJ-A0Z2-TP-NB-SM-1RAEV-SM-1RAEY.validated_with_consensus.maf	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0Z2-TP-NB-SM-1RAEV-SM-1RAEY/jobs/mutation_validator/consensus/job.56423449/THCA-TCGA-BJ-A0Z2-TP-NB-SM-1RAEV-SM-1RAEY.validated_with_consensus.maf
THCA-TCGA-BJ-A0Z3	/seq/picard_aggregation/C499/TCGA-BJ-A0Z3-01A-11D-A13W-08/v3/TCGA-BJ-A0Z3-01A-11D-A13W-08.bam	/seq/picard_aggregation/C499/TCGA-BJ-A0Z3-10A-01D-A13W-08/v3/TCGA-BJ-A0Z3-10A-01D-A13W-08.bam	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0Z3-TP-NB-SM-1WK7X-SM-1WK7Z/jobs/mutation_validator/consensus_snp/job.56428121/THCA-TCGA-BJ-A0Z3-TP-NB-SM-1WK7X-SM-1WK7Z.validated_with_consensus.maf	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0Z3-TP-NB-SM-1WK7X-SM-1WK7Z/jobs/mutation_validator/consensus/job.56428122/THCA-TCGA-BJ-A0Z3-TP-NB-SM-1WK7X-SM-1WK7Z.validated_with_consensus.maf
THCA-TCGA-BJ-A0Z5	/seq/picard_aggregation/C499/TCGA-BJ-A0Z5-01A-11D-A10S-08/v1/TCGA-BJ-A0Z5-01A-11D-A10S-08.bam	/seq/picard_aggregation/C499/TCGA-BJ-A0Z5-10A-01D-A10S-08/v8/TCGA-BJ-A0Z5-10A-01D-A10S-08.bam	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0Z5-TP-NB-SM-1RADM-SM-1RADP/jobs/mutation_validator/consensus_snp/job.56423452/THCA-TCGA-BJ-A0Z5-TP-NB-SM-1RADM-SM-1RADP.validated_with_consensus.maf	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0Z5-TP-NB-SM-1RADM-SM-1RADP/jobs/mutation_validator/consensus/job.56427854/THCA-TCGA-BJ-A0Z5-TP-NB-SM-1RADM-SM-1RADP.validated_with_consensus.maf
THCA-TCGA-BJ-A0Z9	/seq/picard_aggregation/C499/TCGA-BJ-A0Z9-01A-11D-A10S-08/v1/TCGA-BJ-A0Z9-01A-11D-A10S-08.bam	/seq/picard_aggregation/C499/TCGA-BJ-A0Z9-10A-01D-A10S-08/v6/TCGA-BJ-A0Z9-10A-01D-A10S-08.bam	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0Z9-TP-NB-SM-1RADS-SM-1RADV/jobs/mutation_validator/consensus_snp/job.56427664/THCA-TCGA-BJ-A0Z9-TP-NB-SM-1RADS-SM-1RADV.validated_with_consensus.maf	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0Z9-TP-NB-SM-1RADS-SM-1RADV/jobs/mutation_validator/consensus/job.56427665/THCA-TCGA-BJ-A0Z9-TP-NB-SM-1RADS-SM-1RADV.validated_with_consensus.maf
THCA-TCGA-BJ-A0ZA	/seq/picard_aggregation/C499/TCGA-BJ-A0ZA-01A-11D-A10S-08/v6/TCGA-BJ-A0ZA-01A-11D-A10S-08.bam	/seq/picard_aggregation/C499/TCGA-BJ-A0ZA-10A-02D-A10S-08/v5/TCGA-BJ-A0ZA-10A-02D-A10S-08.bam	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0ZA-TP-NB-SM-1RADY-SM-1RAE2/jobs/mutation_validator/consensus_snp/job.56428340/THCA-TCGA-BJ-A0ZA-TP-NB-SM-1RADY-SM-1RAE2.validated_with_consensus.maf	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0ZA-TP-NB-SM-1RADY-SM-1RAE2/jobs/mutation_validator/consensus/job.56428341/THCA-TCGA-BJ-A0ZA-TP-NB-SM-1RADY-SM-1RAE2.validated_with_consensus.maf
THCA-TCGA-BJ-A0ZB	/seq/picard_aggregation/C499/TCGA-BJ-A0ZB-01A-11D-A10S-08/v6/TCGA-BJ-A0ZB-01A-11D-A10S-08.bam	/seq/picard_aggregation/C499/TCGA-BJ-A0ZB-10A-01D-A10S-08/v5/TCGA-BJ-A0ZB-10A-01D-A10S-08.bam	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0ZB-TP-NB-SM-1RAE6-SM-1RAEA/jobs/mutation_validator/consensus_snp/job.56428146/THCA-TCGA-BJ-A0ZB-TP-NB-SM-1RAE6-SM-1RAEA.validated_with_consensus.maf	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0ZB-TP-NB-SM-1RAE6-SM-1RAEA/jobs/mutation_validator/consensus/job.56428147/THCA-TCGA-BJ-A0ZB-TP-NB-SM-1RAE6-SM-1RAEA.validated_with_consensus.maf
THCA-TCGA-BJ-A0ZC	/seq/picard_aggregation/C499/TCGA-BJ-A0ZC-01A-12D-A13W-08/v3/TCGA-BJ-A0ZC-01A-12D-A13W-08.bam	/seq/picard_aggregation/C499/TCGA-BJ-A0ZC-10A-01D-A13W-08/v3/TCGA-BJ-A0ZC-10A-01D-A13W-08.bam	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0ZC-TP-NB-SM-1WK86-SM-1WK89/jobs/mutation_validator/consensus_snp/job.56427551/THCA-TCGA-BJ-A0ZC-TP-NB-SM-1WK86-SM-1WK89.validated_with_consensus.maf	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0ZC-TP-NB-SM-1WK86-SM-1WK89/jobs/mutation_validator/consensus/job.56427552/THCA-TCGA-BJ-A0ZC-TP-NB-SM-1WK86-SM-1WK89.validated_with_consensus.maf
THCA-TCGA-BJ-A0ZE	/seq/picard_aggregation/C499/TCGA-BJ-A0ZE-01A-11D-A10S-08/v5/TCGA-BJ-A0ZE-01A-11D-A10S-08.bam	/seq/picard_aggregation/C499/TCGA-BJ-A0ZE-10A-01D-A10S-08/v5/TCGA-BJ-A0ZE-10A-01D-A10S-08.bam	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0ZE-TP-NB-SM-1RAEE-SM-1RAEH/jobs/mutation_validator/consensus_snp/job.56427541/THCA-TCGA-BJ-A0ZE-TP-NB-SM-1RAEE-SM-1RAEH.validated_with_consensus.maf	/local/cga-fh/cga/An_PanCan_Germline/Pair/THCA-TCGA-BJ-A0ZE-TP-NB-SM-1RAEE-SM-1RAEH/jobs/mutation_validator/consensus/job.56427542/THCA-TCGA-BJ-A0ZE-TP-NB-SM-1RAEE-SM-1RAEH.validated_with_consensus.maf
